	Concentration (microg/m^3)	Year	Month	Day	Hour	Minute	SamplingPoint
0	5.79999999	2020	1	1	0	0	SPO-FI00080_00005_100
1	5.29999999	2020	1	1	1	0	SPO-FI00080_00005_100
2	4.9	2020	1	1	2	0	SPO-FI00080_00005_100
3	4.59999999	2020	1	1	3	0	SPO-FI00080_00005_100
4	4.29999999	2020	1	1	4	0	SPO-FI00080_00005_100
5	4.4	2020	1	1	5	0	SPO-FI00080_00005_100
6	4.29999999	2020	1	1	6	0	SPO-FI00080_00005_100
7	5.9	2020	1	1	7	0	SPO-FI00080_00005_100
8	13.1	2020	1	1	8	0	SPO-FI00080_00005_100
9	4.59999999	2020	1	1	9	0	SPO-FI00080_00005_100
10	5.0	2020	1	1	10	0	SPO-FI00080_00005_100
11	4.79999999	2020	1	1	11	0	SPO-FI00080_00005_100
12	4.59999999	2020	1	1	12	0	SPO-FI00080_00005_100
13	5.5	2020	1	1	13	0	SPO-FI00080_00005_100
14	5.59999999	2020	1	1	14	0	SPO-FI00080_00005_100
15	4.9	2020	1	1	15	0	SPO-FI00080_00005_100
16	6.0	2020	1	1	16	0	SPO-FI00080_00005_100
17	3.29999999	2020	1	1	17	0	SPO-FI00080_00005_100
18	3.79999999	2020	1	1	18	0	SPO-FI00080_00005_100
19	3.7	2020	1	1	19	0	SPO-FI00080_00005_100
20	4.29999999	2020	1	1	20	0	SPO-FI00080_00005_100
21	5.0	2020	1	1	21	0	SPO-FI00080_00005_100
22	3.89999999	2020	1	1	22	0	SPO-FI00080_00005_100
23	3.7	2020	1	1	23	0	SPO-FI00080_00005_100
24	4.29999999	2020	1	2	0	0	SPO-FI00080_00005_100
25	3.6	2020	1	2	1	0	SPO-FI00080_00005_100
26	3.5	2020	1	2	2	0	SPO-FI00080_00005_100
27	5.4	2020	1	2	3	0	SPO-FI00080_00005_100
28	4.5	2020	1	2	4	0	SPO-FI00080_00005_100
29	5.5	2020	1	2	5	0	SPO-FI00080_00005_100
30	5.29999999	2020	1	2	6	0	SPO-FI00080_00005_100
31	5.7	2020	1	2	7	0	SPO-FI00080_00005_100
32	6.2	2020	1	2	8	0	SPO-FI00080_00005_100
33	5.59999999	2020	1	2	9	0	SPO-FI00080_00005_100
34	5.2	2020	1	2	10	0	SPO-FI00080_00005_100
35	6.09999999	2020	1	2	11	0	SPO-FI00080_00005_100
36	5.2	2020	1	2	12	0	SPO-FI00080_00005_100
37	6.79999999	2020	1	2	13	0	SPO-FI00080_00005_100
38	9.69999999	2020	1	2	14	0	SPO-FI00080_00005_100
39	8.59999999	2020	1	2	15	0	SPO-FI00080_00005_100
40	9.3	2020	1	2	16	0	SPO-FI00080_00005_100
41	8.9	2020	1	2	17	0	SPO-FI00080_00005_100
